Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Faculdade Cenecista de Vila Velha;FACEVV;ES;SCHOLARLY;;;
Faculdade Cenecista Ilha do Governador;FACIG;RJ;SCHOLARLY;;;
Faculdade Cenecista Nossa Senhora dos Anjos;FACENSA;RS;SCHOLARLY;;;
Faculdade Central de Cristalina;FACEC;GO;SCHOLARLY;;;
Faculdade Centro Paulista;CESI;SP;SCHOLARLY;;;
Faculdade Ceres;FACERES;SP;SCHOLARLY;;;
Faculdade Certo;FACE;PI;SCHOLARLY;;;
Faculdade Chafic;CHAFIC;SP;SCHOLARLY;;;
Faculdade Christus;Christus;CE;SCHOLARLY;;;
Faculdade Cidade de Coromandel;FCC;MG;SCHOLARLY;;;
Faculdade Cidade de Guanhães - Facig;Facig;MG;SCHOLARLY;;;
Faculdade Cidade de João Pinheiro;FCJP;MG;SCHOLARLY;;;
Faculdade Cidade de Patos de Minas;FPM;MG;SCHOLARLY;;;
Faculdade Cidade do Salvador;FCS;BA;SCHOLARLY;;;
Faculdade Cidade Luz;FACILUZ;SP;SCHOLARLY;;;
Faculdade Cidade Verde;FCV;PR;SCHOLARLY;;;
Faculdade Ciências da Vida;FCV;MG;SCHOLARLY;;;
Faculdade Cimo;FAC;MG;SCHOLARLY;;;
Faculdade Comunitária de Campinas;FAC;SP;SCHOLARLY;;;
Faculdade Comunitária de Limeira;FAC Limeira;SP;SCHOLARLY;;;
Faculdade Concórdia;FACC;SC;SCHOLARLY;;;
Faculdade COTEMIG;COTEMIG;MG;SCHOLARLY;;;
Faculdade Cristo Rei;FACCREI;PR;SCHOLARLY;;;
Faculdade Cuiabá;FAUC;MT;SCHOLARLY;;;
Faculdade da Academia Brasileira de Educação e Cultura;FABEC;RJ;SCHOLARLY;;;
Faculdade da Aldeia de Carapicuíba;FALC;SP;SCHOLARLY;;;
Faculdade da Alta Paulista;FAP;SP;SCHOLARLY;;;
Faculdade da Amazônia;FAMA;RO;SCHOLARLY;;;
Faculdade da Amazônia Ocidental - Faao;FAAO;AC;SCHOLARLY;;;
Faculdade da Cidade de Santa Luzia;FACSAL;MG;SCHOLARLY;;;
Faculdade da Escada;FAESC;PE;SCHOLARLY;;;
Faculdade da Fronteira - Faf;FAF;PR;SCHOLARLY;;;
Faculdade da Fundação Educacional Araçatuba;FAC-FEA;SP;SCHOLARLY;;;
Faculdade da Região dos Lagos;FERLAGOS;RJ;SCHOLARLY;;;
Faculdade da Região Serrana;FARESE;ES;SCHOLARLY;;;
Faculdade da Saúde e Ecologia Humana;FASEH;MG;SCHOLARLY;;;
Faculdade da Serra Gaúcha;FSG;RS;SCHOLARLY;;;
Faculdade Damas da Instrução Cristã;FADIC;PE;SCHOLARLY;;;
Faculdade das Américas;FAM;SP;SCHOLARLY;;;
Faculdade das Atividades Empresariais de Teresina;FAETE;PI;SCHOLARLY;;;
Faculdade de Administração;FA;SP;SCHOLARLY;;;
Faculdade de Administração;ITPAC;TO;SCHOLARLY;;;
Faculdade de Administração Ciências Econ e Contábeis de Guaratinguetá;FACEAG;SP;SCHOLARLY;;;
Faculdade de Administração da Associação Brasiliense de Educação;FABE;RS;SCHOLARLY;;;
